eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.3,3,7,1,0.8,0,0,37,0.07983142929470563
0.01,5,7,1,0.8,0,0,465,0.07871168266448425
0.05,5,7,1,0.8,0,0,97,0.07901179027502908
0.1,5,7,1,0.8,0,0,47,0.07934516269142038
0.3,5,7,1,0.8,0,0,18,0.07932034864478313
0.01,7,7,1,0.8,0,0,479,0.07864276760716046
0.05,7,7,1,0.8,0,0,91,0.07832095998286683
0.1,7,7,1,0.8,0,0,43,0.0790477917137127
0.3,7,7,1,0.8,0,0,13,0.08219664815674377
0.01,1,1,0.65,0.9,0,0,518,0.08161740156492034
0.05,1,1,0.65,0.9,0,0,123,0.08154029250856903
0.1,1,1,0.65,0.9,0,0,64,0.08186145592440436
0.3,1,1,0.65,0.9,0,0,26,0.08171831009107708
0.01,3,1,0.65,0.9,0,0,444,0.08126627649448419
0.05,3,1,0.65,0.9,0,0,101,0.08173890915459522
0.1,3,1,0.65,0.9,0,0,63,0.08168052488958619
0.3,3,1,0.65,0.9,0,0,14,0.0822910736482725
0.01,5,1,0.65,0.9,0,0,433,0.08131798083257408
0.05,5,1,0.65,0.9,0,0,89,0.08100747745788561
0.1,5,1,0.65,0.9,0,0,44,0.08319179249528824
0.3,5,1,0.65,0.9,0,0,12,0.08905610121294695
0.01,7,1,0.65,0.9,0,0,508,0.08148191494687418
0.05,7,1,0.65,0.9,0,0,93,0.08230089685158685
0.1,7,1,0.65,0.9,0,0,62,0.08354890117220885
0.3,7,1,0.65,0.9,0,0,11,0.09088441677292028
0.01,1,3,0.65,0.9,0,0,589,0.08087394016431708
0.05,1,3,0.65,0.9,0,0,158,0.0805859328501442
0.1,1,3,0.65,0.9,0,0,89,0.08089688263221079
0.3,1,3,0.65,0.9,0,0,26,0.08099511218528538
0.01,3,3,0.65,0.9,0,0,467,0.07986540968245358
0.05,3,3,0.65,0.9,0,0,89,0.07963732012554746
0.1,3,3,0.65,0.9,0,0,60,0.0804855729100974
0.3,3,3,0.65,0.9,0,0,11,0.08575573170671243
0.01,5,3,0.65,0.9,0,0,417,0.07981878020450198
0.05,5,3,0.65,0.9,0,0,84,0.08020460397180082
0.1,5,3,0.65,0.9,0,0,44,0.08166831939232055
0.3,5,3,0.65,0.9,0,0,13,0.08587107252348453
0.01,7,3,0.65,0.9,0,0,496,0.07929832045455855
0.05,7,3,0.65,0.9,0,0,107,0.08007843658342176
0.1,7,3,0.65,0.9,0,0,44,0.08119838148999314
0.3,7,3,0.65,0.9,0,0,13,0.08608862343530395
0.01,1,5,0.65,0.9,0,0,629,0.08071450446243715
0.05,1,5,0.65,0.9,0,0,164,0.08053673659235443
0.1,1,5,0.65,0.9,0,0,114,0.08057284251814124
