eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.05,7,3,1,0.8,0,0,264,0.001304539050620246
0.1,7,3,1,0.8,0,0,135,0.001319693213914313
0.3,7,3,1,0.8,0,0,44,0.001384105223752106
0.01,1,5,1,0.8,0,0,1986,0.001342776955351866
0.05,1,5,1,0.8,0,0,413,0.001343287561664844
0.1,1,5,1,0.8,0,0,204,0.001346985468455942
0.3,1,5,1,0.8,0,0,93,0.001396681370973257
0.01,3,5,1,0.8,0,0,945,0.001329685397681083
0.05,3,5,1,0.8,0,0,181,0.001336348188561452
0.1,3,5,1,0.8,0,0,88,0.00133047044590423
0.3,3,5,1,0.8,0,0,26,0.001354125053023825
0.01,5,5,1,0.8,0,0,952,0.001293776696542684
0.05,5,5,1,0.8,0,0,209,0.00129863863959054
0.1,5,5,1,0.8,0,0,102,0.001331214551145359
0.3,5,5,1,0.8,0,0,26,0.001365705402347027
0.01,7,5,1,0.8,0,0,973,0.001308563713816297
0.05,7,5,1,0.8,0,0,187,0.001318532768910054
0.1,7,5,1,0.8,0,0,105,0.001330748762527044
0.3,7,5,1,0.8,0,0,29,0.001375103145698268
0.01,1,7,1,0.8,0,0,1865,0.001368063587593552
0.05,1,7,1,0.8,0,0,397,0.001366489369431689
0.1,1,7,1,0.8,0,0,207,0.001370748419019563
0.3,1,7,1,0.8,0,0,106,0.00141210291019238
0.01,3,7,1,0.8,0,0,919,0.001333303320117094
0.05,3,7,1,0.8,0,0,184,0.001336843188769197
0.1,3,7,1,0.8,0,0,97,0.0013335073391099119
0.3,3,7,1,0.8,0,0,24,0.001381307038073731
0.01,5,7,1,0.8,0,0,916,0.001321003392921393
0.05,5,7,1,0.8,0,0,181,0.001320182840999428
0.1,5,7,1,0.8,0,0,95,0.001328720930047004
0.3,5,7,1,0.8,0,0,28,0.001363252698809394
0.01,7,7,1,0.8,0,0,949,0.001327165463106272
0.05,7,7,1,0.8,0,0,187,0.001328971696937765
0.1,7,7,1,0.8,0,0,93,0.001333891351889866
0.3,7,7,1,0.8,0,0,27,0.001406476019595471
0.01,1,1,0.65,0.9,0,0,1146,0.001381232664388438
0.05,1,1,0.65,0.9,0,0,265,0.001381418756812662
0.1,1,1,0.65,0.9,0,0,108,0.001393669149550735
0.3,1,1,0.65,0.9,0,0,49,0.0014538262856960559
0.01,3,1,0.65,0.9,0,0,890,0.001307824964334421
0.05,3,1,0.65,0.9,0,0,187,0.001340764389597932
0.1,3,1,0.65,0.9,0,0,101,0.001353015001635751
0.3,3,1,0.65,0.9,0,0,26,0.001427648207455991
0.01,5,1,0.65,0.9,0,0,981,0.001309393446630918
0.05,5,1,0.65,0.9,0,0,217,0.001320395907696226
0.1,5,1,0.65,0.9,0,0,90,0.001373490414687486
0.3,5,1,0.65,0.9,0,0,24,0.001464518980645156
0.01,7,1,0.65,0.9,0,0,1051,0.001319939913802512
0.05,7,1,0.65,0.9,0,0,229,0.001347815224867299
0.1,7,1,0.65,0.9,0,0,100,0.001389120169535608
0.3,7,1,0.65,0.9,0,0,26,0.001526624216489103
0.01,1,3,0.65,0.9,0,0,1030,0.001367846603250004
0.05,1,3,0.65,0.9,0,0,242,0.00136894108136648
0.1,1,3,0.65,0.9,0,0,121,0.0013740541398281191
0.3,1,3,0.65,0.9,0,0,31,0.001458205505591082
0.01,3,3,0.65,0.9,0,0,932,0.001304391615117647
0.05,3,3,0.65,0.9,0,0,171,0.0013325603543851059
0.1,3,3,0.65,0.9,0,0,101,0.001359731796567632
0.3,3,3,0.65,0.9,0,0,29,0.001446293534481339
0.01,5,3,0.65,0.9,0,0,903,0.001292962629174413
0.05,5,3,0.65,0.9,0,0,178,0.001312698862037883
0.1,5,3,0.65,0.9,0,0,87,0.001310832145525615
0.3,5,3,0.65,0.9,0,0,27,0.001429258358108199
0.01,7,3,0.65,0.9,0,0,912,0.001295297145077416
0.05,7,3,0.65,0.9,0,0,195,0.00130968781626457
0.1,7,3,0.65,0.9,0,0,89,0.001332910838985099
0.3,7,3,0.65,0.9,0,0,27,0.001431681893102871
0.01,1,5,0.65,0.9,0,0,1035,0.001392656516481837
0.05,1,5,0.65,0.9,0,0,240,0.001388438289224238
0.1,1,5,0.65,0.9,0,0,121,0.001394012936258288
0.3,1,5,0.65,0.9,0,0,73,0.001433028881023468
0.01,3,5,0.65,0.9,0,0,899,0.001323411594658645
0.05,3,5,0.65,0.9,0,0,173,0.001345038336371076
0.1,3,5,0.65,0.9,0,0,101,0.001350784072801206
0.3,3,5,0.65,0.9,0,0,23,0.001402996508229764
0.01,5,5,0.65,0.9,0,0,903,0.001302926562790742
0.05,5,5,0.65,0.9,0,0,171,0.001313997990787748
0.1,5,5,0.65,0.9,0,0,89,0.001330065606606037
0.3,5,5,0.65,0.9,0,0,28,0.001430424729975839
0.01,7,5,0.65,0.9,0,0,903,0.001303843079386051
0.05,7,5,0.65,0.9,0,0,192,0.001314532348863681
0.1,7,5,0.65,0.9,0,0,100,0.001333562831111622
0.3,7,5,0.65,0.9,0,0,27,0.001424222647466861
0.01,1,7,0.65,0.9,0,0,1023,0.00141217531451084
0.05,1,7,0.65,0.9,0,0,225,0.001404577607944939
0.1,1,7,0.65,0.9,0,0,139,0.001408659381768135
0.3,1,7,0.65,0.9,0,0,56,0.001466059036443809
0.01,3,7,0.65,0.9,0,0,898,0.001331277370686618
0.05,3,7,0.65,0.9,0,0,170,0.001340818280652746
0.1,3,7,0.65,0.9,0,0,86,0.00136452124436736
0.3,3,7,0.65,0.9,0,0,24,0.001423192642001331
0.01,5,7,0.65,0.9,0,0,903,0.001303204997239809
0.05,5,7,0.65,0.9,0,0,172,0.0013257904410531919
0.1,5,7,0.65,0.9,0,0,80,0.001333128305557238
0.3,5,7,0.65,0.9,0,0,28,0.001407204797419824
0.01,7,7,0.65,0.9,0,0,898,0.001308185432294749
0.05,7,7,0.65,0.9,0,0,166,0.001323409019820936
0.1,7,7,0.65,0.9,0,0,88,0.001346521996823439
0.3,7,7,0.65,0.9,0,0,28,0.001434908408871799
0.01,1,1,0.8,0.9,0,0,1176,0.00137859800676317
0.05,1,1,0.8,0.9,0,0,235,0.001378547103757753
0.1,1,1,0.8,0.9,0,0,118,0.0013894678095921439
0.3,1,1,0.8,0.9,0,0,37,0.001412000935228893
0.01,3,1,0.8,0.9,0,0,948,0.0013066967369399641
0.05,3,1,0.8,0.9,0,0,197,0.0013271804564956129
0.1,3,1,0.8,0.9,0,0,94,0.0013430119453757981
0.3,3,1,0.8,0.9,0,0,29,0.001393675209590835
0.01,5,1,0.8,0.9,0,0,997,0.001302341837591193
0.05,5,1,0.8,0.9,0,0,218,0.001324357875695254
