eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,3,5,1,0.8,0,0,530,0.07997547697507276
0.05,3,5,1,0.8,0,0,116,0.08046897996385868
0.1,3,5,1,0.8,0,0,91,0.0792990331823734
0.3,3,5,1,0.8,0,0,14,0.08134187477271866
0.01,5,5,1,0.8,0,0,505,0.07964903147012578
0.05,5,5,1,0.8,0,0,95,0.07962210621403713
0.1,5,5,1,0.8,0,0,50,0.08011252667500146
0.3,5,5,1,0.8,0,0,12,0.08099066035300777
0.01,7,5,1,0.8,0,0,497,0.07927151733328926
0.05,7,5,1,0.8,0,0,99,0.07928393501206646
0.1,7,5,1,0.8,0,0,53,0.08033120446150382
0.3,7,5,1,0.8,0,0,16,0.0825595750164842
0.01,1,7,1,0.8,0,0,1388,0.0822048039203274
0.05,1,7,1,0.8,0,0,303,0.0821127089418346
0.1,1,7,1,0.8,0,0,138,0.08212942205978857
0.3,1,7,1,0.8,0,0,93,0.08152356651897688
0.01,3,7,1,0.8,0,0,466,0.08011414009917917
0.05,3,7,1,0.8,0,0,128,0.07975064666269148
0.1,3,7,1,0.8,0,0,62,0.0797487136966341
0.3,3,7,1,0.8,0,0,16,0.08005105995753906
0.01,5,7,1,0.8,0,0,547,0.07907979199136476
0.05,5,7,1,0.8,0,0,110,0.07939191727555074
0.1,5,7,1,0.8,0,0,72,0.0789939032613012
0.3,5,7,1,0.8,0,0,13,0.08228835345743087
0.01,7,7,1,0.8,0,0,543,0.07920676331906859
0.05,7,7,1,0.8,0,0,95,0.07918307642932916
0.1,7,7,1,0.8,0,0,51,0.07907459418227772
0.3,7,7,1,0.8,0,0,12,0.08086056067601927
0.01,1,1,0.65,0.9,0,0,667,0.08355033632867641
0.05,1,1,0.65,0.9,0,0,149,0.0834859961168185
0.1,1,1,0.65,0.9,0,0,161,0.08300477120712636
0.3,1,1,0.65,0.9,0,0,48,0.08312264678884076
0.01,3,1,0.65,0.9,0,0,483,0.08091984150554601
0.05,3,1,0.65,0.9,0,0,105,0.08173043971279405
0.1,3,1,0.65,0.9,0,0,71,0.08226836988426767
0.3,3,1,0.65,0.9,0,0,13,0.08657070813445604
0.01,5,1,0.65,0.9,0,0,492,0.08046464928953219
0.05,5,1,0.65,0.9,0,0,97,0.08218458891882109
0.1,5,1,0.65,0.9,0,0,52,0.08238643129998989
0.3,5,1,0.65,0.9,0,0,10,0.08976086117960946
0.01,7,1,0.65,0.9,0,0,658,0.08028373037038947
0.05,7,1,0.65,0.9,0,0,111,0.08177308868464997
0.1,7,1,0.65,0.9,0,0,65,0.08439702081166592
0.3,7,1,0.65,0.9,0,0,14,0.08736566083917313
0.01,1,3,0.65,0.9,0,0,1103,0.08221099065602674
0.05,1,3,0.65,0.9,0,0,149,0.08284260712608163
0.1,1,3,0.65,0.9,0,0,133,0.082067337427922
0.3,1,3,0.65,0.9,0,0,69,0.0819465515544622
0.01,3,3,0.65,0.9,0,0,457,0.0806158490647058
0.05,3,3,0.65,0.9,0,0,100,0.08116914518968982
0.1,3,3,0.65,0.9,0,0,46,0.08223702922867676
0.3,3,3,0.65,0.9,0,0,21,0.08509574211164952
0.01,5,3,0.65,0.9,0,0,487,0.07980746575101982
0.05,5,3,0.65,0.9,0,0,98,0.08022019882749835
0.1,5,3,0.65,0.9,0,0,47,0.08188109425242969
0.3,5,3,0.65,0.9,0,0,14,0.08368627974781348
0.01,7,3,0.65,0.9,0,0,462,0.07998071454564885
0.05,7,3,0.65,0.9,0,0,87,0.08059630531428169
0.1,7,3,0.65,0.9,0,0,62,0.081685579544582
0.3,7,3,0.65,0.9,0,0,11,0.08710199565060998
0.01,1,5,0.65,0.9,0,0,1126,0.08202276437459685
0.05,1,5,0.65,0.9,0,0,149,0.08270426505086155
0.1,1,5,0.65,0.9,0,0,128,0.08198793198408875
0.3,1,5,0.65,0.9,0,0,46,0.08223619083370078
0.01,3,5,0.65,0.9,0,0,523,0.07989983988438877
0.05,3,5,0.65,0.9,0,0,105,0.08065827656381257
0.1,3,5,0.65,0.9,0,0,43,0.08117437683167338
0.3,3,5,0.65,0.9,0,0,16,0.08221160970965943
0.01,5,5,0.65,0.9,0,0,506,0.07915572244985633
0.05,5,5,0.65,0.9,0,0,92,0.08017336014916171
0.1,5,5,0.65,0.9,0,0,46,0.08138813310429203
0.3,5,5,0.65,0.9,0,0,16,0.08370608766741482
0.01,7,5,0.65,0.9,0,0,486,0.07954058556883581
0.05,7,5,0.65,0.9,0,0,94,0.07991106539205094
0.1,7,5,0.65,0.9,0,0,46,0.08094601434338208
0.3,7,5,0.65,0.9,0,0,13,0.08532694791419002
0.01,1,7,0.65,0.9,0,0,667,0.08278276100945046
0.05,1,7,0.65,0.9,0,0,149,0.08267810677342922
0.1,1,7,0.65,0.9,0,0,133,0.08194407637466648
0.3,1,7,0.65,0.9,0,0,48,0.08213683168044858
0.01,3,7,0.65,0.9,0,0,523,0.07961403470949079
0.05,3,7,0.65,0.9,0,0,105,0.08001349984238702
0.1,3,7,0.65,0.9,0,0,60,0.0809716399516743
0.3,3,7,0.65,0.9,0,0,14,0.08109169299385702
0.01,5,7,0.65,0.9,0,0,541,0.07899985015525801
0.05,5,7,0.65,0.9,0,0,116,0.07970083582720404
0.1,5,7,0.65,0.9,0,0,60,0.08009753063911648
0.3,5,7,0.65,0.9,0,0,12,0.08313106752999899
0.01,7,7,0.65,0.9,0,0,515,0.07888279785480216
0.05,7,7,0.65,0.9,0,0,94,0.07905126058762386
0.1,7,7,0.65,0.9,0,0,50,0.07976910694481018
0.3,7,7,0.65,0.9,0,0,14,0.08412552416475273
0.01,1,1,0.8,0.9,0,0,667,0.08342475186358632
0.05,1,1,0.8,0.9,0,0,141,0.08324327281786989
0.1,1,1,0.8,0.9,0,0,137,0.08261289910946622
0.3,1,1,0.8,0.9,0,0,68,0.08213678057550855
0.01,3,1,0.8,0.9,0,0,546,0.08138900330794012
0.05,3,1,0.8,0.9,0,0,97,0.08215757531293509
0.1,3,1,0.8,0.9,0,0,44,0.08133047796332846
0.3,3,1,0.8,0.9,0,0,13,0.08391078897046228
0.01,5,1,0.8,0.9,0,0,493,0.0801802652177851
0.05,5,1,0.8,0.9,0,0,84,0.08151526064535888
0.1,5,1,0.8,0.9,0,0,60,0.0823782546877287
0.3,5,1,0.8,0.9,0,0,15,0.08617662884054847
0.01,7,1,0.8,0.9,0,0,565,0.07990174425989602
0.05,7,1,0.8,0.9,0,0,128,0.08135717809840153
0.1,7,1,0.8,0.9,0,0,54,0.08137379790074054
0.3,7,1,0.8,0.9,0,0,16,0.08506879848417408
0.01,1,3,0.8,0.9,0,0,667,0.08291274262647114
0.05,1,3,0.8,0.9,0,0,293,0.08192892135349444
0.1,1,3,0.8,0.9,0,0,136,0.0819848632783061
0.3,1,3,0.8,0.9,0,0,57,0.08196381561635993
0.01,3,3,0.8,0.9,0,0,581,0.0806910045856935
0.05,3,3,0.8,0.9,0,0,98,0.08142001839587625
0.1,3,3,0.8,0.9,0,0,77,0.08103914370967341
0.3,3,3,0.8,0.9,0,0,15,0.08479717036502141
0.01,5,3,0.8,0.9,0,0,548,0.07984056180488826
0.05,5,3,0.8,0.9,0,0,96,0.08142947207299285
0.1,5,3,0.8,0.9,0,0,53,0.08160362942177495
0.3,5,3,0.8,0.9,0,0,15,0.08675190890586475
0.01,7,3,0.8,0.9,0,0,488,0.07960876041051972
0.05,7,3,0.8,0.9,0,0,157,0.08089778301385404
0.1,7,3,0.8,0.9,0,0,45,0.08213625124566133
0.3,7,3,0.8,0.9,0,0,14,0.08463672319289028
0.01,1,5,0.8,0.9,0,0,995,0.08223406375084015
0.05,1,5,0.8,0.9,0,0,271,0.08186505234060484
0.1,1,5,0.8,0.9,0,0,91,0.08224425493104123
0.3,1,5,0.8,0.9,0,0,57,0.08169128281475516
0.01,3,5,0.8,0.9,0,0,634,0.0800912544333829
0.05,3,5,0.8,0.9,0,0,132,0.08039309844897467
0.1,3,5,0.8,0.9,0,0,66,0.08036444737555283
0.3,3,5,0.8,0.9,0,0,26,0.08134759855516009
0.01,5,5,0.8,0.9,0,0,485,0.07950364174452525
0.05,5,5,0.8,0.9,0,0,95,0.07983426676963014
0.1,5,5,0.8,0.9,0,0,60,0.0800085693560301
0.3,5,5,0.8,0.9,0,0,15,0.08218539048359906
0.01,7,5,0.8,0.9,0,0,456,0.079622018289735
0.05,7,5,0.8,0.9,0,0,95,0.0803719175604817
0.1,7,5,0.8,0.9,0,0,66,0.08077095829530807
0.3,7,5,0.8,0.9,0,0,12,0.081844029310947225
0.01,1,7,0.8,0.9,0,0,1206,0.08196930565334933
0.05,1,7,0.8,0.9,0,0,330,0.08165218345396799
0.1,1,7,0.8,0.9,0,0,91,0.08218128023036599
0.3,1,7,0.8,0.9,0,0,69,0.08134544847780371
0.01,3,7,0.8,0.9,0,0,629,0.0794678291505101
0.05,3,7,0.8,0.9,0,0,99,0.08005009533428857
0.1,3,7,0.8,0.9,0,0,67,0.0798497893180696
0.3,3,7,0.8,0.9,0,0,13,0.08128373774086714
0.01,5,7,0.8,0.9,0,0,500,0.07904599594075176
0.05,5,7,0.8,0.9,0,0,93,0.07987909407549568
0.1,5,7,0.8,0.9,0,0,82,0.07949204361335638
0.3,5,7,0.8,0.9,0,0,17,0.08019170743448968
0.01,7,7,0.8,0.9,0,0,478,0.0792224064865082
0.05,7,7,0.8,0.9,0,0,95,0.07972053363435694
0.1,7,7,0.8,0.9,0,0,43,0.08020102939191592
0.3,7,7,0.8,0.9,0,0,14,0.08221870684447172
0.01,1,1,1,0.9,0,0,1324,0.0827030327501585
0.05,1,1,1,0.9,0,0,299,0.08258477741835368
0.1,1,1,1,0.9,0,0,114,0.0827628482317418
0.3,1,1,1,0.9,0,0,79,0.08215547496887557
0.01,3,1,1,0.9,0,0,434,0.08266102700235071
0.05,3,1,1,0.9,0,0,93,0.08214186800591392
0.1,3,1,1,0.9,0,0,65,0.08242502027208345
0.3,3,1,1,0.9,0,0,14,0.08316395463154137
0.01,5,1,1,0.9,0,0,469,0.08111267048570892
0.05,5,1,1,0.9,0,0,88,0.08162851559617101
0.1,5,1,1,0.9,0,0,53,0.0820975195499501
0.3,5,1,1,0.9,0,0,19,0.08603919324813274
0.01,7,1,1,0.9,0,0,601,0.08059477665680076
0.05,7,1,1,0.9,0,0,138,0.08127704776437578
0.1,7,1,1,0.9,0,0,71,0.08233439215502406
0.3,7,1,1,0.9,0,0,20,0.08406007077819694
0.01,1,3,1,0.9,0,0,1186,0.08240117751053513
