Municipality.code,Municipality,Total_residents,Total_houses,P_female,Mean_age,P_age_00_14,P_age_15_39,P_age_65_more,P_migrants,P_afrodescendants,P_disability,P_indigenous_language,P_university_studies,P_read_write,P_electricity,P_car,P_cell_phone,P_internet,Mean_occupants,P_working,Current_income,P_poverty,P_extreme_poverty,P_vulnerable_income,P_educational_lag,P_lack_quality_living_spaces
15090, Tenango del Valle,90518,21103,50.84955478,29.67505579,28.3922929,40.65779879,6.306206775,0.251132888,2.704633485,14.31112781,1.11737456,9.75492659,92.56186593,99.27828688,39.22127255,80.44541526,35.69970084,4.180916212,83.53696221,33554.24,67.5,14.2,7.5,16.5,10.7
15091, Teoloyucan,65459,16139,51.20762615,30.95461145,26.1710094,39.95720944,6.704363108,0.131903864,1.797455909,13.94587483,1.111451786,9.949898111,96.06064372,99.8008588,40.56580259,86.19379748,48.04037635,4.004784094,79.98381273,45662.17,52.2,5.4,11.8,10.2,4.8
15092, Teotihuacán,58507,15798,51.80918523,32.12601709,24.47179487,39.6,7.535042735,0.22936565,0.670819358,13.16460026,3.824575807,12.93280416,96.83917147,99.77807368,43.31218274,90.37229657,45.87720411,3.681988208,80.86227697,46746.13,54.7,5.9,8.2,9,5.3
15093, Tepetlaoxtoc,32564,8422,51.15464931,31.17274319,26.09577049,39.87775286,7.132106767,0.255125565,7.717605114,18.45841785,2.234997541,9.759547383,96.81483242,99.68925541,45.17632995,87.25947173,39.08210828,3.841539197,80.5422838,45420.52,56.3,5.6,5.5,9.9,8.2
15094, Tepetlixpa,20500,5115,51.48292683,31.19422354,26.23798605,40.30833781,7.654778748,0.356201815,1.53703523,13.8556862,0.884004884,8.300762165,95.85289515,99.52950402,32.15686275,85.64142801,30.46292664,3.977063321,84.67267738,38729.62,64.2,11.9,4.4,13.3,13
15095, Tepotzotlán,103696,27116,51.09936738,31.89905488,24.12575948,40.69244864,6.898447295,0.292439992,1.426186639,16.62052267,2.825524354,12.53548051,96.4238264,99.72246892,46.43174415,90.30132524,50.9087544,3.788879846,78.70288248,56538.26,46.3,6.1,12.3,11,7.2
15096, Tequixquiac,39489,10664,51.05219175,31.3394363,25.12091975,40.69994176,6.844944162,0.205177567,1.248733536,17.15457861,1.322322424,9.147793484,96.51904673,99.55843668,43.54035516,88.06839534,37.12889891,3.688868013,83.30664154,41629.69,61.8,6.3,6.2,12.2,3.4
15097, Texcaltitlán,18482,4586,51.60155827,28.54723515,32.88064062,38.34541716,7.13667352,0.784674495,0.297602944,15.43747633,0.228000651,8.068632242,90.22900763,98.35418038,45.49045425,78.51656792,19.381036,3.981786263,75.80609783,34447.83,56.6,10,4.3,17.7,7.7
15098, Texcalyacac,5736,1450,50.81938633,30.92189679,26.13319386,40.58577406,6.642259414,0.192072638,3.315881326,10.51438535,2.719665272,10.63005984,97.91811242,99.58506224,39.07330567,86.92946058,50.27662517,3.898340249,79.80636238,35341.09,53.8,3.4,13.2,10.5,7
15099, Texcoco,277562,72078,51.38383496,32.31770993,23.32051702,40.64487534,7.651948932,0.482409951,2.080422238,16.90207377,5.399993386,19.47399169,97.27529144,99.77467453,45.88695205,90.00542503,54.14626002,3.747803115,78.83100982,52435.52,56.4,9.8,7,10.7,10.2
15100, Tezoyuca,47044,12202,50.60581583,30.55888983,25.42535091,41.26116546,5.629519353,0.1708708,1.419410004,14.77686655,6.476490765,7.679860327,97.18169761,99.83521463,39.64706852,91.57391376,41.79732629,3.823587466,82.45210098,32527.77,63.5,10.3,7,9.3,9.3
15101, Tianguistenco,84259,20101,51.5220926,29.97916246,27.42243805,41.32125429,6.271446042,0.196020196,1.40687754,15.12131973,3.05689821,13.12653701,96.11075146,99.47140079,40.3779983,81.48905401,42.63202513,4.139019041,85.29954607,41162.7,60.4,12.5,5,12.6,11.3
15102, Timilpan,16414,4487,52.10795662,32.29324316,25.94894291,38.42076403,9.236580759,0.311013538,0.512382579,17.81707317,12.86585366,8.741536021,91.83035714,98.99598394,47.83578759,82.95403838,23.20392682,3.647255689,77.10762332,43250.8,45.2,4.1,1.3,15,3.8
15103, Tlalmanalco,49196,12817,52.08147004,33.46835932,23.17606163,37.99727604,8.917935479,0.085421412,0.982026675,15.84661679,0.719893953,15.23933838,97.93846634,99.77354365,36.6242287,89.6368606,52.03436158,3.793221927,73.82739212,45649.14,51.5,6.5,12.1,7.9,11.6
15104, Tlalnepantla de Baz,672202,199795,51.3513795,36.28841173,18.7514343,37.67990248,11.42300666,0.417661368,1.711416551,16.58950709,3.124051161,25.81175206,97.71259229,99.93474518,47.20916687,90.64859817,70.72502046,3.304755606,72.59286805,69464.81,36.7,3.9,13.6,8.8,3.6
15105, Tlatlaya,31762,8561,50.80284617,32.37774699,29.41880234,34.63257981,12.50865814,1.048620733,0.195232547,17.37309485,0.223720696,10.28818262,78.99473992,98.9122807,35.52877866,82.28070175,8.937763219,3.681520468,75.94073377,27108.66,60.8,15.6,0.4,24.5,16.7
15106, Toluca,910608,239734,51.7714538,31.95948075,23.93574165,40.72996873,7.009612372,0.380880524,1.743055991,14.32918213,7.572629982,25.05305938,96.75165676,99.68154863,52.70012706,90.05019623,58.28108804,3.757773621,80.36007163,56210.26,51.8,10.8,10.7,11.1,4.5
15125, Tonanitla,14883,3958,51.26654572,30.18786535,26.69488678,41.32903313,5.274474232,0.262132007,2.143529096,16.09998656,4.132509071,20.82969139,98.10366625,99.82269504,51.06382979,89.10840932,53.1796301,3.721377913,84.50632911,38510.84,52.8,9,6.6,11.2,8.6
15107, Tonatico,12912,3602,51.71158612,33.1017658,25.28655514,37.87174721,10.76517968,1.077602915,2.946193208,20.04806574,0.596852957,10.57774331,93.05748403,99.80331554,48.91823546,89.04186569,45.18123068,3.570665917,77.03003337,40447.47,49.1,3.8,3.2,17,5.1
15108, Tultepec,157645,42774,51.07234609,31.49837171,24.25488964,40.52257708,5.517784253,0.247092377,1.802488425,16.14285714,2.525576463,22.34279107,97.94207852,99.90619797,48.35479256,91.83376721,66.70888748,3.661370826,82.91843282,48492.03,43.2,5.1,11.9,9.4,6.6
15109, Tultitlán,516341,145951,51.26515229,33.15570598,22.19003083,39.7776404,7.422903775,0.267243747,1.729385534,17.20586153,2.631916232,16.17846638,98.01539836,99.94776991,41.72895365,90.9617844,66.78174278,3.518022933,77.58169935,55045.55,42.2,5.1,16.1,9.7,3.5
15110, Valle de Bravo,61590,16129,51.1673973,30.23497321,27.66682903,40.5049521,6.61308654,0.446158623,0.925048214,12.213976,1.408704188,12.4469914,91.42626714,99.23024396,41.2615633,83.93566816,38.15111442,3.754671302,82.27824463,42114,60,9.5,4.2,17,8.6
15122, Valle de Chalco Solidaridad,391731,104414,51.32527168,30.3401166,26.67740889,41.41562458,5.957083869,0.246798531,1.591349299,19.55512968,7.532441641,6.895106254,95.97600768,99.87221245,26.93997212,88.48823348,55.99484521,3.723532686,82.95648833,38218.02,66.3,13.1,8.9,13.4,15.1
15111, Villa de Allende,53275,12510,51.39558893,27.26900047,32.44298451,41.76818395,5.535429376,0.078842147,0.306086042,12.82662562,13.23095985,2.450106077,85.80794755,97.616,28.872,73.448,4.888782205,4.20472,83.03112965,28381.28,73.8,19.5,1.1,23.7,9.8
15112, Villa del Carbón,51498,12925,50.35341178,28.86830453,29.67954943,41.50903088,6.405127209,0.114638791,0.652807461,17.35034767,6.148106407,5.716007152,89.39382209,97.15816445,34.70259357,77.41534638,18.88638658,3.94345769,84.45825243,34984.51,64.7,13.6,2.7,18.7,10.2
15113, Villa Guerrero,69086,17531,50.99007035,27.81633037,32.03977651,40.49735113,5.556842197,0.655856378,0.961482769,16.09559792,0.191226749,4.322248786,90.21856988,99.18201579,39.82493278,81.00223099,20.75968194,3.912486415,86.89473383,32971.8,66.6,14,0.9,31.8,11
15114, Villa Victoria,108196,24242,50.88635439,26.38161617,33.70338873,42.20295428,4.973100886,0.093412132,0.21459426,12.50658752,17.76019983,2.624303006,84.40480614,97.85239334,30.15571434,74.08508881,6.940714728,4.370047871,82.23023969,32051.08,71.9,23.7,1.1,28.4,13.9
15043, Xalatlaco,30687,7101,51.27578453,29.20406766,28.39542388,41.81415208,5.677781037,0.07174069,0.887178316,9.944247009,2.184189079,8.769356153,95.91549296,99.59068454,40.25974026,79.43542696,32.22755505,4.252116253,86.13861386,36263.99,64.2,12.1,5.3,13.1,12.8
15115, Xonacatlán,54633,13112,51.02227591,30.29306873,26.89209476,40.97067116,6.030537146,0.140999817,0.551181102,16.21567192,4.52980181,12.18064184,94.87120691,99.64078264,42.3438575,87.02231733,45.66230987,4.115449267,83.41620133,40528.64,60.7,10.2,6.4,14.3,7.7
15116, Zacazonapan,5109,1380,49.57917401,28.60794676,32.31552163,39.28361715,7.163828538,0.548052456,0.430612644,9.473478176,0.234879624,9.90409082,86.8115942,99.27272727,49.23636364,83.63636364,27.0014556,3.700363636,76.02040816,34844.84,56.7,6.3,4,27.2,6
15117, Zacualpan,13522,3562,52.25558349,31.06256471,30.18784204,36.05235912,9.887590593,0.510317284,0.650983873,16.76651135,0.022225515,6.408356794,86.77337826,97.49295775,36.79909834,77.23302339,18.64788732,3.766263025,73.29754168,32102.02,65.2,14.8,2.5,25.6,12
15118, Zinacantepec,203872,48807,51.19192434,29.9660422,26.6649975,41.75577091,5.422840143,0.221016183,1.633572944,11.10620121,1.213552816,16.95470051,95.01651587,99.5913506,48.85402119,85.55703871,47.911447,4.113336069,82.82053391,45973.77,52.5,9.7,11.1,12.6,7.9
15119, Zumpahuacán,18833,4556,51.74427866,28.19121708,32.69966015,39.52846219,7.343882753,0.764696511,0.313413015,15.02150481,0.49381405,3.967916711,85.99648815,98.72667398,24.0667545,74.40175631,12.18441273,4.089571899,78.91486546,30110.63,77.6,22.3,0.8,23.6,19.7
15120, Zumpango,280455,78021,51.16114885,29.55188302,27.69222539,41.65192582,4.745720399,0.245929808,1.670942889,18.97452004,3.181038181,11.55721291,97.59768638,99.40188185,33.33504638,91.41796318,49.80789741,3.56431908,84.8476668,51290.87,58.5,7.8,10.4,12.1,5.3
16001, Acuitzio,11301,2926,51.39368198,31.72610619,27.63716814,37.75221239,9.867256637,1.027094032,0.982648725,16.63864059,0.58417419,5.249181199,89.36388509,98.73374401,52.32717317,87.02499144,25.4707292,3.828258638,75.53264605,44698.35,55.5,10.5,2.7,26.8,17.8
