"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
20493," Santiago Tillo",545,NA,NA,NA
20497," Santiago Yaitepec",4233,NA,NA,NA
20499," Santiago Yolomécatl",1922,NA,NA,NA
20503," Santiago Zoochila",425,NA,NA,NA
20514," Santo Domingo Roayaga",941,NA,NA,NA
20518," Santo Domingo Tlatayápam",113,NA,NA,NA
20519," Santo Domingo Tomaltepec",3386,NA,NA,NA
20522," Santo Domingo Xagacía",1205,NA,NA,NA
20524," Santo Domingo Yodohino",327,NA,NA,NA
20531," Santo Tomás Mazaltepec",2612,NA,NA,NA
20527," Santos Reyes Pápalo",2490,NA,NA,NA
20538," Sitio de Xitlapehua",713,NA,NA,NA
20539," Soledad Etla",6348,NA,NA,NA
20541," Tanetze de Zaragoza",1558,NA,NA,NA
20542," Taniche",887,NA,NA,NA
20546," Teotitlán del Valle",6392,NA,NA,NA
20547," Teotongo",1005,NA,NA,NA
20552," Tlacotepec Plumas",410,NA,NA,NA
20338," Villa de Etla",10361,NA,NA,NA
20038," Villa Hidalgo",1885,NA,NA,NA
20280," Villa Talea de Castro",2011,NA,NA,NA
20564," Yutanduchi de Guerrero",1195,NA,NA,NA
20568," Zapotitlán Palmas",1695,NA,NA,NA
21009," Ahuehuetitla",2207,NA,NA,NA
21013," Altepexi",22629,NA,NA,NA
21014," Amixtlán",4812,NA,NA,NA
21017," Atempan",29742,NA,NA,NA
21080," Atlequizayan",2633,NA,NA,NA
21020," Atoyatempan",7704,NA,NA,NA
21021," Atzala",1512,NA,NA,NA
21028," Camocuautla",2758,NA,NA,NA
21029," Caxhuacan",3811,NA,NA,NA
21052," Chigmecatitlán",1215,NA,NA,NA
21059," Chinantla",2846,NA,NA,NA
21030," Coatepec",772,NA,NA,NA
21033," Cohuecan",5403,NA,NA,NA
21034," Coronango",46836,NA,NA,NA
21038," Cuapiaxtla de Madero",10542,NA,NA,NA
21041," Cuautlancingo",137435,NA,NA,NA
21060," Domingo Arenas",7982,NA,NA,NA
21068," Hermenegildo Galeana",7011,NA,NA,NA
21075," Hueyapan",13080,NA,NA,NA
21084," Ixtepec",6950,NA,NA,NA
21088," Jonotla",4457,NA,NA,NA
21090," Juan C. Bonilla",23783,NA,NA,NA
21091," Juan Galindo",9828,NA,NA,NA
21095," La Magdalena Tlatlauquitepec",650,NA,NA,NA
21118," Los Reyes de Juárez",30021,NA,NA,NA
21097," Mixtla",2668,NA,NA,NA
21100," Naupan",9310,NA,NA,NA
21102," Nealtican",14075,NA,NA,NA
21105," Ocotepec",5077,NA,NA,NA
21117," Rafael Lara Grajales",15952,NA,NA,NA
21122," San Felipe Teotlalcingo",11063,NA,NA,NA
21125," San Gregorio Atzompa",9671,NA,NA,NA
21131," San Juan Atzompa",975,NA,NA,NA
21133," San Martín Totoltepec",692,NA,NA,NA
21136," San Miguel Xoxtla",12461,NA,NA,NA
21139," San Pablo Anicano",3759,NA,NA,NA
21140," San Pedro Cholula",138433,NA,NA,NA
21146," Santa Catarina Tlaltempan",749,NA,NA,NA
21148," Santa Isabel Cholula",11498,NA,NA,NA
21151," Santo Tomás Hueyotlipan",9315,NA,NA,NA
21163," Tepatlaxco de Hidalgo",18854,NA,NA,NA
21165," Tepemaxalco",1216,NA,NA,NA
21168," Tepexco",7523,NA,NA,NA
21171," Tepeyahualco de Cuauhtémoc",3851,NA,NA,NA
21173," Teteles de Ávila Castillo",6653,NA,NA,NA
21181," Tlaltenango",7425,NA,NA,NA
21189," Tochtepec",22454,NA,NA,NA
21200," Xochiapulco",3443,NA,NA,NA
21210," Zapotitlán de Méndez",5675,NA,NA,NA
21211," Zaragoza",16752,NA,NA,NA
21214," Zinacatepec",18359,NA,NA,NA
21215," Zongozotla",4539,NA,NA,NA
24018," Huehuetlán",15334,NA,NA,NA
28009," Ciudad Madero",205933,NA,NA,NA
29022," Acuamanala de Miguel Hidalgo",6432,NA,NA,NA
29001," Amaxac de Guerrero",11403,NA,NA,NA
