"Area_code","Area_name","Total_Population","Total_houses","P_female","Mean_age","P_age_00_14","P_age_15_39","P_age_65_more","P_migrants","P_afrodescendants","P_disability","P_indigenous_language","P_university_studies","P_read_write","P_electricity","P_car","P_cell_phone","P_internet","Mean_occupants","P_working","Current_income","P_poverty","P_extreme_poverty","P_vulnerable_income","P_educational_lag","P_lack_quality_living_spaces","longitude","latitude","bias"
29047," Lázaro Cárdenas",-0.323180164231361,-0.31604059629709,-0.184581169227035,-0.870924107372506,0.375267096220567,1.34344707806292,-0.800330262883823,-0.50249006163948,-0.356573089390055,-1.67971591301045,-0.68958159550658,-0.386899628456042,0.864138845910248,0.458943449326095,-0.0825979264994614,0.392822942136287,-0.909343236898011,0.569655599690834,0.401533520486178,-0.955323403820315,0.634416926127165,-0.903344472716176,2.10729751193468,-0.968353837578282,-0.783790750106569,0.160645875377452,-0.159014148078015,0.997453311
29048," La Magdalena Tlaltelulco",-0.217717728164458,-0.228383914603939,-0.505806341351004,-0.642368488265449,-0.296077354585886,1.37290908098221,-1.03667665442391,-0.591247877588588,1.07550431618018,2.25706486324452,-0.543648466350836,1.43780827335988,1.09810647526864,0.468815041619443,0.385480654307758,1.02978649276931,1.31556197914538,1.11689440201328,0.972056984013268,0.704479431955062,-0.16213447178666,-0.519405299935494,1.86042505380523,-1.50817583922662,-0.6650904353268,0.115828154524973,-0.236839729371899,0.995849968
29049," San Damián Texóloc",-0.307192761008731,-0.302574977538072,-0.551063995972849,0.326996001934263,-0.950123181972455,0.472143185252396,-0.147613038726501,-0.559008818502599,0.607677017157722,-1.28883432996593,-0.674354037853367,1.5899380934872,1.17600538998117,0.413253329349316,0.868569848256852,0.775877196317098,0.466310087917959,0.732058929639379,0.568060403331021,1.55452348304041,-0.247087774545818,-0.864167006105902,1.97312769773389,-1.58041967587844,-0.808181225746248,0.090921211891205,-0.235207745130171,0.993711761
29050," San Francisco Tetlanohcan",-0.267210646651538,-0.272590902023703,0.54270167607869,-0.418961221612582,-0.0873910392042513,0.893911223861853,-0.614953422327703,0.00737831018099787,0.0848533047569321,-1.03925182201085,0.275849395969719,0.539952332740889,0.747054120018494,0.513301323746801,-0.154698890537367,0.39597002230906,0.49590439632994,1.37525533172559,0.655808344209639,-0.264484177114506,0.246189467281551,-0.302623318025312,1.16810881252916,-1.35967461944232,-0.572406627896022,0.14088619344811,-0.24227789594974,0.996173795
29051," San Jerónimo Zacualpan",-0.319384006359775,-0.313011423711581,0.907206148313719,0.276061110583818,-0.710877426132056,0.494754171167808,-0.114375184740343,-0.630564379702228,-0.0265294878145637,-1.64697304423266,-0.678820845632616,2.17775948218445,0.99443609662316,0.416598763198145,0.491232812815956,0.338581560257804,0.842910301993167,0.652259508804206,-0.355633541856216,-0.49412219897057,-0.384109230608976,-0.831519117264008,1.89262580921342,-1.2593359574259,-0.832571701385926,0.0991372723000744,-0.246322861549297,0.994379277
29052," San José Teacalco",-0.303437422038989,-0.304468210404014,-0.157169294143737,-0.324172766086224,0.0601796689180747,0.526931725054131,-0.460620045282196,-0.549536466473028,-0.286558709952629,-0.475713284353296,-0.668582831856244,-0.520697093664466,0.569614904292845,0.249909146239361,0.192928037397953,0.68748490966054,-0.402078560252088,1.99236304430647,-0.188566556640738,-0.599891567543789,0.867353401434533,-0.354859940172344,0.309422001644104,-0.747608781142158,-0.344762188592355,0.148500133720755,-0.222133051818205,0.997824736
29053," San Juan Huactzinco",-0.294919877853996,-0.297013605994365,0.636221901810415,-0.329310609007583,-0.304071044107729,0.934278745501169,-0.628116558453844,-0.645265853943817,0.106459413014404,-1.52590713764989,-0.59530399716155,1.86534592304021,0.927841426979912,0.489255449300276,1.62731664985833,0.715987563079578,1.00299996828043,1.7748326442668,1.06911893911285,-0.0802374845271472,0.132004920562253,-0.465862762234786,1.49011636661105,-1.33960688703904,-0.548016152256343,0.101603541786858,-0.250273660731275,0.995707596
29054," San Lorenzo Axocomanitla",-0.308519375318694,-0.306053792929242,0.111404841407844,0.0984087695199582,-0.706576259513148,0.664297834420966,-0.369776093070611,-0.454590437176824,1.87160724468305,-0.907062654332567,-0.672213828170627,0.631350374246502,0.980546183526507,0.57596645662009,0.794380844359206,0.746273884273383,1.10767625716839,1.31231733330226,-0.230057926096033,-0.122817247530124,-0.384109230608976,-0.870696583874281,3.10015413702052,-1.38977621804725,-0.889482811211843,0.100052745537422,-0.255544398155102,0.994550888
29055," San Lucas Tecopilco",-0.32628920392189,-0.318975107239301,-0.823959052426668,0.228284593622572,-0.661752127111796,0.469937417966068,-0.060420681896329,-0.0633530176107967,-0.321389835629662,-0.859634148971487,-0.672251491450386,-0.183153821824345,0.654576182512516,0.203183810707296,0.358288740545334,0.700672177805678,0.694488001997201,0.597204546149167,-0.764864088205386,-0.596192672811275,0.602445253045761,-0.720516295201565,1.06077296116852,-1.23926822502262,-0.93013360394464,0.0995789223490637,-0.173604047073339,0.998050049
29056," Santa Ana Nopalucan",-0.293123846172815,-0.292895824510939,-0.152023913608372,-0.15532574759581,-0.426206095768056,0.897561705191932,-0.715551018304439,-0.626478502851793,0.229772122338594,-1.84574116436633,-0.662618578797379,1.54725994105473,0.935803069431824,0.486356318335608,0.860074907994687,0.524881372951693,0.709067478243951,1.20575783850495,0.597638242268873,-0.551840099552075,0.364941395869621,-0.668279673054534,1.54378429229136,-1.34964075324068,-0.783790750106569,0.0827952263591151,-0.232223963164799,0.995850101
